"Simple_ID","Exposure_ID","Death_timing","Pre_exp_ID","Exposure_type","Exposure_start","Exposure_duration","Animal_type","Death_date","Batch","Notes","Erin_ID","Well_1","Well_2","Well_3","Status","MeanCopy","Well_1_1","Well_2_1","Well_3_1","Status_1","MeanCopy_1","MeanCopyFinal","Exposure_duration_numerical","logMeanCopyFinalPlus1","MeanCopyFinalPlus1","Trio_ID","Larval_condition","Final_status","Final_status_binomial"
"MR379","ALS.SQ.24.7","Euthanization","ALS2","Sequential",2021-07-12,"24hr","Naive",2021-07-19,2,NA,59,323.7472534,480.3534851,419.053009,"Pos",407.7179159,NA,NA,NA,NA,NA,407.7179159,24,2.61142367516198,408.7179159,"ALS.24.7","ALS","Pos","1"
"MR376","AHS.SQ.24.5","Euthanization","AHS8","Sequential",2021-07-12,"24hr","Naive",2021-07-19,2,NA,60,245.4435577,217.5210876,265.1791077,"Pos",242.7145844,NA,NA,NA,NA,NA,242.7145844,24,2.3868815190695,243.7145844,"AHS.24.5","AHS","Pos","1"
"MR328","EHS.SH.24.6","Euthanization","EHS2","Shared",2021-07-11,"24hr","Naive",2021-07-17,2,NA,31,310.8400269,386.9198608,384.3267517,"Pos",360.6955465,NA,NA,NA,NA,NA,360.6955465,24,2.55834316139534,361.6955465,"EHS.24.6","EHS","Pos","1"
"MR327","EHS.SH.24.5","Euthanization","EHS7","Shared",2021-07-11,"24hr","Naive",2021-07-17,2,NA,32,3877072.25,3418327.5,3427682.25,"Pos",3574360.667,NA,NA,NA,NA,NA,3574360.667,24,6.55319849389869,3574361.667,"EHS.24.5","EHS","Pos","1"
"MR326","ELS.SH.24.6","Euthanization","ELS10","Shared",2021-07-11,"24hr","Naive",2021-07-17,2,NA,37,191.6606598,167.34198,155.476059,"Pos",171.4928996,NA,NA,NA,NA,NA,171.4928996,24,2.2367712227252,172.4928996,"ELS.24.4","ELS","Pos","1"
"MR325","ELS.SH.24.5","Euthanization","ELS3","Shared",2021-07-11,"24hr","Naive",2021-07-17,2,NA,39,210.3403473,196.6765137,181.8030853,"Pos",196.2733154,NA,NA,NA,NA,NA,196.2733154,24,2.29506834344631,197.2733154,"ELS.24.5","ELS","Pos","1"
"MR324","ELS.SH.24.4","Euthanization","ELS7","Shared",2021-07-11,"24hr","Naive",2021-07-17,2,NA,405,873940,904038.84,882302,"Pos",886760.28,NA,NA,NA,NA,NA,886760.28,24,5.94780672159912,886761.28,"ELS.24.6","ELS","Pos","1"
"MR323","ALS.SH.24.8","Euthanization","ALS8","Shared",2021-07-11,"24hr","Naive",2021-07-17,2,NA,35,4397799,4079085.5,4089631,"Pos",4188838.5,NA,NA,NA,NA,NA,4188838.5,24,6.6220937202085,4188839.5,"ALS.24.8","ALS","Pos","1"
"MR322","ALS.SH.24.7","Euthanization","ALS8","Shared",2021-07-11,"24hr","Naive",2021-07-17,2,NA,36,283.9899902,216.52771,251.2779694,"Pos",250.5985565,NA,NA,NA,NA,NA,250.5985565,24,2.40070814509643,251.5985565,"ALS.24.7","ALS","Pos","1"
"MR321","ALS.SH.24.6","Euthanization","ALS8","Shared",2021-07-11,"24hr","Naive",2021-07-17,2,NA,38,100931184,98183736,92107224,"Pos",97074048,NA,NA,NA,NA,NA,97074048,24,7.98710314461005,97074049,"ALS.24.6","ALS","Pos","1"
